Title,Rating,Votes,Duration,Genre
459. Good Neighbours,3.1, (178),1h 24m,Horror
460. Jugaremos en el bosque,4.8, (96),1h 30m,Horror
461. Burning Butterflies,8.5, (74),1h 43m,Horror
462. Nokturno,3.7, (212),1h 39m,Horror
463. The Sisters,4.7, (154),2h 2m,Horror
464. Nyctophobia,7.5, (1.8K),1h 30m,Horror
465. The Beldham,6.7, (41),,Horror
466. True Fear,4.5, (288),1h 32m,Horror
467. 200KG Vampire,5.1, (30),1h 33m,Horror
468. Aranmanai 4,5.0, (2.4K),2h 28m,Horror
469. Janji Darah,4.4, (154),1h 44m,Horror
470. My Boo,6.1, (697),2h 5m,Horror
471. Winter Island,4.6, (175),1h 42m,Horror
472. Sakaratul Maut,5.4, (174),1h 47m,Horror
473. Kakuda,5.4, (6.4K),1h 56m,Horror
474. Estela,7.1, (15),,Horror
475. Camp Blood: Clown Shark,3.3, (87),1h 10m,Horror
476. I Left My Heart in Colombia,8.7, (418),,Horror
477. Stereoscope,4.1, (116),1h 31m,Horror
478. Kuyang,5.2, (478),1h 37m,Horror
479. Sattam En Kaiyil,8.0, (2.3K),2h 4m,Horror
480. Anatema,4.2, (213),1h 31m,Horror
481. Aiden,2.5, (126),1h 14m,Horror
482. Deadly Culture: Final Mutation,2.8, (54),1h 9m,Horror
483. Where is My Head?,6.8, (82),1h 30m,Horror
484. The Last Chainsaw Massacre,3.6, (43),1h 15m,Horror
485. Gone with the Dead,4.5, (48),1h 36m,Horror
486. Mother Maker Lover Taker,5.9, (34),1h 39m,Horror
487. Broken Bird,5.7, (127),1h 39m,Horror
488. Spithood,5.5, (1.1K),58m,Horror
489. Mystic Singer,4.8, (245),1h 36m,Horror
490. Chateau,4.0, (283),1h 23m,Horror
491. The Candy Store,4.0, (85),1h 26m,Horror
492. Night Shoot,5.7, (84),1h 38m,Horror
493. Peter Rabid,,,,Horror
494. Curse of the Naked Ghost Hunters,5.1, (13),35m,Horror
495. Portraits,4.9, (44),1h 22m,Horror
496. Happy Birthday Luci,9.4, (56),,Horror
"497. Nanay, tatay",7.4, (47),2h,Horror
498. The Cellar,5.9, (168),1h 25m,Horror
499. Halloween: Season of the Boogeyman,7.9, (28),,Horror
500. You Shouldn't Have Let Me In,4.1, (180),1h 24m,Horror
"501. Spider Baby, or The Maddest Story Ever Told",4.7, (102),1h 12m,Horror
